title,price,description,images,link
 CBK Solar Interaction Wall Lamp – Model BK-888-2,"22 د.إ 
Original price was: 22 د.إ.
16 د.إ
Current price is: 16 د.إ.","Illuminate Your Outdoors with Smart Solar Power

Light up your pathways, gardens, and entrances effortlessly with the CBK BK-888-2 Solar Interaction Wall Lamp. Designed with intelligent motion detection and energy-saving solar technology, it automatically brightens your outdoor spaces when needed — no wiring, no electricity bills, just reliable eco-friendly lighting.

 Key Features
 High-Efficiency Solar Panel

Built-in high-conversion solar panel charges during the day and powers bright LED lights through the night. Save energy and reduce costs while maintaining eco-conscious living.

 Smart Motion Sensor Technology

Equipped with intelligent PIR motion detection, the lamp automatically turns on when movement is detected and dims when inactive, ensuring both safety and efficiency.

 Long-Lasting Rechargeable Battery

Powered by a durable lithium battery, this lamp provides continuous illumination all night after a full charge. Ideal for areas without power outlets.

 Weather-Resistant Design

Constructed with IP65 waterproof material, the lamp withstands rain, wind, and heat — perfect for outdoor use in all seasons.

 Easy Installation

No need for complicated wiring — simply mount it on any wall or fence using included screws. Ideal for homes, gardens, garages, porches, driveways, or patios.",images/CBK Solar Interaction Wall Lamp  Model BK-888-2/img1.jpg|images/CBK Solar Interaction Wall Lamp  Model BK-888-2/img2.jpg|images/CBK Solar Interaction Wall Lamp  Model BK-888-2/img3.jpg|images/CBK Solar Interaction Wall Lamp  Model BK-888-2/img4.jpg,https://iqracart.com/product/%e2%98%80%ef%b8%8f-cbk-solar-interaction-wall-lamp-model-bk-888-2/
10 Perfume Combo for Men & Women | Long-Lasting Fragrance,"129 د.إ 
Original price was: 129 د.إ.
109 د.إ
Current price is: 109 د.إ.","A luxury combo of 10 exquisite perfumes designed for both men and women — featuring floral, oriental, woody, and fresh scents. Each 100ml bottle delivers elegance, long-lasting fragrance, and unique personality. Perfect for gifting or personal use.

Limited Offer: 10 Perfumes for only 109 AED!

 DETAILED DESCRIPTION
 Overview

Experience luxury in diversity with this exclusive 10 Perfume Combo Pack, curated with captivating fragrances to suit every mood and occasion. Each bottle blends premium aromatic notes inspired by the world’s finest perfumes.",images/10 Perfume Combo for Men  Women  Long-Lasting Fragrance/img1.jpg|images/10 Perfume Combo for Men  Women  Long-Lasting Fragrance/img2.jpg|images/10 Perfume Combo for Men  Women  Long-Lasting Fragrance/img3.jpg,https://iqracart.com/product/10-perfume-combo-for-men-women-long-lasting-fragrance-100ml-each/
18-in-1 Nail Care Kit | Manicure & Pedicure Tools,"25 د.إ 
Original price was: 25 د.إ.
19 د.إ
Current price is: 19 د.إ.","Keep your nails perfectly trimmed and clean with this 18-piece professional grooming kit. Designed for both men and women, it includes high-quality stainless steel tools for manicure, pedicure, facial care, and personal grooming — all neatly packed in a sleek red-and-black travel case.

 Overview

This 18-in-1 Grooming Kit combines elegance, durability, and functionality — ideal for nail, face, and hand care. Whether at home or on the go, this set ensures precision and hygiene in every grooming routine.

 What’s Included

3 × Nail clippers (large, medium, small)

1 × Cuticle nipper

1 × Scissors

1 × Tweezers

1 × Nail file

1 × Ear pick

2 × Acne needles

4 × Cuticle pushers and trimmers

3 × Blackhead extractors / precision tools

Total: 18 high-quality stainless steel pieces.",images/18-in-1 Nail Care Kit  Manicure  Pedicure Tools/img1.jpg|images/18-in-1 Nail Care Kit  Manicure  Pedicure Tools/img2.jpg|images/18-in-1 Nail Care Kit  Manicure  Pedicure Tools/img3.jpg,https://iqracart.com/product/18-in-1-nail-care-kit-manicure-pedicure-tools/
200W Solar Charging Floodlight with IP65 Waterproof Portable Design,"78 د.إ 
Original price was: 78 د.إ.
69 د.إ
Current price is: 69 د.إ.","Power and Light, Anywhere: The 200W Solar Charging Floodlight DT-919LP!

Experience quality lighting with the DAT DT-919LP Solar Floodlight. Featuring a powerful 200W output, this light delivers SUPER BRIGHT illumination for job sites, camping, or emergency situations. The robust design is WATERPROOF and rated IP65, guaranteeing performance in tough outdoor conditions. More than just a light, it includes DUAL USB ports and a LARGE CAPACITY battery, turning it into a portable power bank to charge your devices on the go!",images/200W Solar Charging Floodlight with IP65 Waterproof Portable Design/img1.jpg|images/200W Solar Charging Floodlight with IP65 Waterproof Portable Design/img2.jpg|images/200W Solar Charging Floodlight with IP65 Waterproof Portable Design/img3.jpg|images/200W Solar Charging Floodlight with IP65 Waterproof Portable Design/img4.jpg,https://iqracart.com/product/200w-solar-charging-floodlight-dt-919lp-portable-waterproof-ip65-work-light/
3X Elastic Bandage – Washable & Reusable Support Wrap,"30 د.إ 
Original price was: 30 د.إ.
25 د.إ
Current price is: 25 د.إ.","Support your joints and speed up your recovery with the Luting® 3X Elastic Bandage — the next generation of stretchable support wraps. Designed to stretch up to 3 times longer than traditional bandages, this premium-quality elastic bandage ensures a secure fit without slipping or sliding. It’s soft, breathable, washable, and reusable — perfect for injury recovery, joint support, or athletic performance.

 Key Features

3X Stretch Technology – Expands up to 3 times its original length, offering superior flexibility and comfort.

Secure & Non-Slip Fit – Stays firmly in place without sliding, even during movement.

Soft & Breathable Fabric – Provides lasting comfort and promotes better airflow for faster healing.

Reusable & Washable – Easy to clean and built to last, making it a cost-effective choice.

Universal Use – Perfect for wrapping ankles, knees, wrists, elbows, and more. Ideal for sports, physical therapy, or daily joint support.",images/3X Elastic Bandage  Washable  Reusable Support Wrap/img1.jpg|images/3X Elastic Bandage  Washable  Reusable Support Wrap/img2.jpg|images/3X Elastic Bandage  Washable  Reusable Support Wrap/img3.jpg|images/3X Elastic Bandage  Washable  Reusable Support Wrap/img4.jpg,https://iqracart.com/product/3x-elastic-bandage-washable-reusable-super-stretchable-support-wrap/
5-in-1 Mobile Creator Dock with Wireless Audio Station Hub Pro,"65 د.إ 
Original price was: 65 د.إ.
54 د.إ
Current price is: 54 د.إ.","Simplify Your Setup: The Ultimate Mobile Creator Hub

Stop juggling wires and running out of battery while streaming or recording! This all-in-one Mobile Creator Dock is the perfect solution for vloggers, gamers, and anyone who needs a high-quality, portable setup. It combines essential charging, stable phone support, and professional-grade wireless audio connectivity into a sleek, compact device. Power up your phone, capture crystal-clear sound, and stream on-the-go with unparalleled ease.",images/5-in-1 Mobile Creator Dock with Wireless Audio Station Hub Pro/img1.jpg|images/5-in-1 Mobile Creator Dock with Wireless Audio Station Hub Pro/img2.jpg|images/5-in-1 Mobile Creator Dock with Wireless Audio Station Hub Pro/img3.jpg|images/5-in-1 Mobile Creator Dock with Wireless Audio Station Hub Pro/img4.jpg|images/5-in-1 Mobile Creator Dock with Wireless Audio Station Hub Pro/img5.jpg,https://iqracart.com/product/5-in-1-mobile-creator-dock-wireless-audio-station-phone-stand-power-bank-microphone-hub/
540 Needles Derma Roller | Skin Rejuvenation & Collagen Therapy Tool,"21 د.إ 
Original price was: 21 د.إ.
16 د.إ
Current price is: 16 د.إ.","Achieve smoother, younger-looking skin with this 540-needle Derma Roller. Designed for skin regeneration, anti-aging, and collagen stimulation — it enhances serum absorption and improves overall skin texture.

 Overview

The 540 Needle Derma Roller is a professional-grade skincare tool that promotes natural skin healing and rejuvenation. By creating micro-punctures on the skin’s surface, it stimulates collagen and elastin production, reducing fine lines, scars, and wrinkles for a firmer, more radiant complexion.

 Key Benefits

Stimulates Collagen & Elastin: Improves skin elasticity and firmness.

Reduces Fine Lines & Wrinkles: Promotes smoother and younger-looking skin.

Fades Acne Scars & Pigmentation: Boosts skin regeneration and renewal.

Enhances Product Absorption: Maximizes the effectiveness of serums and creams.

Safe & Easy to Use: Ergonomic handle with high-quality titanium micro-needles.

 How to Use

Cleanse your face thoroughly and pat dry.

Disinfect the roller before and after each use.

Gently roll over the skin vertically, horizontally, and diagonally (avoid excessive pressure).

Apply a soothing serum or moisturizer after rolling.

Use 2–3 times a week for best results.",images/540 Needles Derma Roller  Skin Rejuvenation  Collagen Therapy Tool/img1.jpg|images/540 Needles Derma Roller  Skin Rejuvenation  Collagen Therapy Tool/img2.jpg|images/540 Needles Derma Roller  Skin Rejuvenation  Collagen Therapy Tool/img3.jpg,https://iqracart.com/product/540-needles-derma-roller-skin-rejuvenation-collagen-therapy-tool/
8-Inch Oscillating Clip Fan with 2200 RPM Adjustable Speed Power,"45 د.إ 
Original price was: 45 د.إ.
39 د.إ
Current price is: 39 د.إ.","Stay Cool Anywhere: The Powerful 8″ Clip Fan

Beat the heat with our versatile and powerful 8-Inch Clip Fan. Designed for maximum portability, this fan easily clips onto desks, shelves, beds, or cubicle walls, providing targeted cooling right where you need it. Despite its compact size, it delivers substantial airflow thanks to its 2200 RPM motor. Plus, with adjustable speeds and 90° oscillation, you can customize your breeze for personal comfort or room circulation. Perfect for dorms, offices, and workshops!",images/8-Inch Oscillating Clip Fan with 2200 RPM Adjustable Speed Power/img1.jpg|images/8-Inch Oscillating Clip Fan with 2200 RPM Adjustable Speed Power/img2.jpg|images/8-Inch Oscillating Clip Fan with 2200 RPM Adjustable Speed Power/img3.jpg|images/8-Inch Oscillating Clip Fan with 2200 RPM Adjustable Speed Power/img4.jpg|images/8-Inch Oscillating Clip Fan with 2200 RPM Adjustable Speed Power/img5.jpg,https://iqracart.com/product/8-inch-oscillating-clip-fan-2-speed-adjustable-desk-fan-with-2200-rpm-power/
Adjustable Counting Grip – Hand & Forearm Strength Trainer,42 د.إ," Product Overview

Enhance your grip strength, build forearm muscles, and improve overall hand endurance with the Adjustable Counting Grip Strengthener. This compact yet powerful fitness tool features adjustable resistance and a built-in digital counter, making it ideal for athletes, fitness enthusiasts, musicians, and anyone recovering from hand or wrist injuries.

 Key Features

 Adjustable Resistance: Easily customize the tension to suit your fitness level or rehabilitation needs. Perfect for beginners and professionals alike.

 Smart Counting Display: Track your reps effortlessly with the built-in digital counter, helping you stay consistent and motivated.

 High-Strength Spring: Built with a durable, heavy-duty spring that ensures smooth resistance and long-lasting performance.

 Ergonomic Non-Slip Handle: Designed for maximum comfort and grip during use, even in longer training sessions.

 Versatile Training Tool: Strengthens fingers, wrists, hands, and forearms — ideal for athletes, climbers, drummers, and rehabilitation exercises.",images/Adjustable Counting Grip  Hand  Forearm Strength Trainer/img1.jpg|images/Adjustable Counting Grip  Hand  Forearm Strength Trainer/img2.jpg|images/Adjustable Counting Grip  Hand  Forearm Strength Trainer/img3.jpg|images/Adjustable Counting Grip  Hand  Forearm Strength Trainer/img4.jpg|images/Adjustable Counting Grip  Hand  Forearm Strength Trainer/img5.jpg,https://iqracart.com/product/adjustable-counting-grip-hand-forearm-strength-trainer/
Adjustable Hand Grip Strengthener with Smart Count,"50 د.إ 
Original price was: 50 د.إ.
35 د.إ
Current price is: 35 د.إ.","Upgrade your strength training with the Adjustable Counting Grip. This isn’t your average hand squeezer; it’s a smart training partner designed to push your limits and measure your success.

The standout feature is the Smart Count mechanism. A mechanical counter built right into the handle automatically clicks and records every single repetition, so you can stop focusing on counting and start focusing on your form. When you’re finished with your set, just press the easy-access reset button at the base to spin the counter back to “00”.

This gripper grows with you. The Adjustable Force knob allows you to dial in the perfect level of resistance. Whether you’re just starting your strength journey, recovering from an injury, or an advanced athlete looking to build crushing grip strength, you can easily increase the tension as you get stronger.

Built for comfort and durability, the ergonomic handles fit perfectly in your palm, while the non-slip textured grips ensure it stays secure, even during the most intense workouts. The robust, high-strength spring is engineered to withstand countless reps, providing consistent resistance every time.

Perfect for carrying in a gym bag or keeping at your desk, this adjustable hand grip is the most efficient way to build functional strength in your hands, wrists, and forearms.

 

Product Specifications

 

Product Type: Adjustable Hand Grip Strengthener
Key Features: Built-in Rep Counter, Adjustable Resistance Knob
Material: High-Strength Steel Spring, Durable Plastic Body, Soft-Touch Grip
Color: Black / Grey
Counter: Mechanical 2-digit display (00-99)
Counter Reset: Manual “R ST/CLR” button",images/Adjustable Hand Grip Strengthener with Smart Count/img1.jpg|images/Adjustable Hand Grip Strengthener with Smart Count/img2.jpg|images/Adjustable Hand Grip Strengthener with Smart Count/img3.jpg|images/Adjustable Hand Grip Strengthener with Smart Count/img4.jpg|images/Adjustable Hand Grip Strengthener with Smart Count/img5.jpg,https://iqracart.com/product/adjustable-hand-grip-strengthener-with-smart-counter/
